SENTENCE,TEXT,POS,POS_GROUPED
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",O,DET,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",Zouhaur,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",Atif,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",",",PUNCT,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",o,DET,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",zoeno,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",arrestou,VERB,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",pe,ADP,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",avei,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",ammassou,VERB,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",o,DET,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",Abanoud,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",Youssef,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",inte,ADJ,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",unna,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",scheua,VERB,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",à,ADP,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",Spezza,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",",",PUNCT,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",o,DET,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",l’à,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",ammisso,ADJ,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",d’aveilo,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",fæto,ADJ,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",pe,ADP,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",giöxia,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia:",:,PUNCT,PUNCT
«O no doveiva scangiâse,«,PUNCT,PUNCT
«O no doveiva scangiâse,O,PRON,PRON
«O no doveiva scangiâse,no,ADP,FUNC
«O no doveiva scangiâse,doveiva,NOUN,NOUN
«O no doveiva scangiâse,scangiâse,PROPN,NOUN
quelle fotografie co-a mæ galante».,quelle,PROPN,NOUN
quelle fotografie co-a mæ galante».,fotografie,VERB,VERB
quelle fotografie co-a mæ galante».,co-a,ADV,ADV
quelle fotografie co-a mæ galante».,mæ,PROPN,NOUN
quelle fotografie co-a mæ galante».,galante,ADJ,ADJ
quelle fotografie co-a mæ galante».,»,PUNCT,PUNCT
quelle fotografie co-a mæ galante».,.,PUNCT,PUNCT
A figgia e a vittima se conosceivan da figgeu.,A,DET,PRON
A figgia e a vittima se conosceivan da figgeu.,figgia,NOUN,NOUN
A figgia e a vittima se conosceivan da figgeu.,e,CCONJ,FUNC
A figgia e a vittima se conosceivan da figgeu.,a,DET,PRON
A figgia e a vittima se conosceivan da figgeu.,vittima,NOUN,NOUN
A figgia e a vittima se conosceivan da figgeu.,se,PRON,PRON
A figgia e a vittima se conosceivan da figgeu.,conosceivan,VERB,VERB
A figgia e a vittima se conosceivan da figgeu.,da,ADP,FUNC
A figgia e a vittima se conosceivan da figgeu.,figgeu,NOUN,NOUN
A figgia e a vittima se conosceivan da figgeu.,.,PUNCT,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",«,PUNCT,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",Aiva,NOUN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",fæto,CCONJ,FUNC
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",o,DET,PRON
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",poscibile,NOUN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",perché,ADJ,ADJ
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",no,ADP,FUNC
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",rattellessan,NOUN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",»,PUNCT,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",",",PUNCT,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",a,DET,PRON
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",l’à,NOUN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",scrito,ADJ,ADJ
